datetime,Open,High,Low,Close,Volume
2023-05-31 16:00:00,26906.5,31456.0,24783.0,30068.2,355260.73189443
2023-06-30 16:00:00,30068.2,31830.0,28866.7,29246.9,203327.77998251
2023-07-31 16:00:00,29246.9,30242.7,24220.0,26923.5,231019.47500118
2023-08-31 16:00:00,26923.5,27500.0,24900.0,26994.8,208585.89855333
2023-09-30 16:00:00,26994.9,35919.2,26530.0,34272.5,331533.1565204
2023-10-31 16:00:00,34272.5,38487.0,34054.9,37616.6,368587.56053767
2023-11-30 16:00:00,37617.7,44726.8,37526.4,42457.5,410205.53038288
2023-12-31 16:00:00,42457.6,48988.0,38554.0,43354.2,536880.11061011
2024-01-31 16:00:00,43353.2,64085.2,41868.2,62764.2,337125.22626851
2024-02-29 16:00:00,62764.2,73787.1,59000.0,70394.0,507121.89940422
2024-03-31 16:00:00,70394.0,72799.0,59587.2,60793.9,401050.02560208
2024-04-30 16:00:00,60793.7,71979.0,56555.0,67209.6,276454.75066648
2024-05-31 16:00:00,67209.7,71997.0,58378.0,61719.8,185245.32270303
2024-06-30 16:00:00,61720.0,70050.0,53269.0,66385.9,258924.6803579
2024-07-31 16:00:00,66386.0,66838.0,48934.8,59013.8,332667.3917177
2024-08-31 16:00:00,59013.8,66500.0,52528.6,63558.8,227710.2703368
2024-09-30 16:00:00,63558.8,73650.0,58935.6,70628.0,246893.74554917
2024-10-31 16:00:00,70627.9,99588.0,66822.5,96646.7,372995.75346121
2024-11-30 16:00:00,96646.6,108365.0,89711.9,95417.8,305854.83972167
2024-12-31 16:00:00,95417.9,109800.0,89111.0,105438.0,281491.16014888
2025-01-31 16:00:00,105437.9,105574.6,78258.5,83997.2,264289.96696696
2025-02-28 16:00:00,83997.1,95000.0,76600.0,83423.0,321720.62398642
2025-03-31 16:00:00,83420.7,95768.4,74501.6,94009.3,292348.91850593
2025-04-30 16:00:00,94007.3,111963.0,93390.1,104554.2,225704.51209633
2025-05-31 16:00:00,104554.2,110650.0,98188.4,107575.1,162387.15725533
2025-06-30 16:00:00,107575.0,123226.0,105100.0,118314.0,165231.46747468
2025-07-31 16:00:00,118313.9,124500.0,107343.7,108801.7,163471.67668823
2025-08-31 16:00:00,108801.7,117910.0,107250.0,113120.3,131325.82710732
2025-09-30 16:00:00,113120.4,126200.0,101500.0,110188.7,275290.49282158
2025-10-31 16:00:00,110180.8,111245.5,80636.3,91439.9,263010.82179109
