datetime,OI_Usd,OI_Contracts
2025-08-07 08:00:00,2733305277.612004,2382006.900000003
2025-08-07 12:00:00,2876142938.0781617,2469239.4400000013
2025-08-07 16:00:00,2921612463.7650948,2504045.370000004
2025-08-07 20:00:00,2889008597.034321,2460648.9800000004
2025-08-08 00:00:00,2941205604.191843,2504671.4300000025
2025-08-08 04:00:00,2941371896.0780835,2520179.360000003
2025-08-08 08:00:00,2905795251.199475,2487840.5300000045
2025-08-08 12:00:00,2935993117.124066,2512279.580000005
2025-08-08 16:00:00,2905176066.9967246,2500650.7900000038
2025-08-08 20:00:00,2859340413.1006465,2456317.6400000053
2025-08-09 00:00:00,2853057992.816645,2446440.0800000043
2025-08-09 04:00:00,2865217053.0989647,2462652.220000004
2025-08-09 08:00:00,2869104899.199006,2458519.8000000054
2025-08-09 12:00:00,2951657739.021526,2521112.270000005
2025-08-09 16:00:00,2949252052.395845,2524594.980000004
2025-08-09 20:00:00,2911199251.658066,2498578.930000005
2025-08-10 00:00:00,2931383659.6523747,2517287.370000004
2025-08-10 04:00:00,3050691361.464245,2574397.020000004
2025-08-10 08:00:00,3052559380.614396,2591700.5900000054
2025-08-10 12:00:00,3062329531.347866,2587856.4100000053
2025-08-10 16:00:00,3111546611.7975574,2619360.850000006
2025-08-10 20:00:00,3070588629.940738,2588306.830000007
2025-08-11 00:00:00,3134695755.163828,2627576.1800000067
2025-08-11 04:00:00,3310366099.925607,2719924.820000006
2025-08-11 08:00:00,3350145055.77433,2756282.0400000084
2025-08-11 12:00:00,3260117820.1662064,2703107.400000005
2025-08-11 16:00:00,3228443732.096707,2683471.020000006
2025-08-11 20:00:00,3087106698.900008,2594207.3100000066
2025-08-12 00:00:00,3026745676.3160458,2550775.980000005
2025-08-12 04:00:00,3039648473.2407055,2557614.8100000042
2025-08-12 08:00:00,3057540245.6849465,2569780.4900000053
2025-08-12 12:00:00,2991809876.626806,2524791.6000000047
2025-08-12 16:00:00,3026531470.4956846,2524330.9700000035
2025-08-12 20:00:00,3027280356.698136,2530305.570000005
2025-08-13 00:00:00,3087958334.4571567,2571222.3500000057
2025-08-13 04:00:00,3093153912.4501877,2589093.6300000064
2025-08-13 08:00:00,3121641885.681007,2610723.3300000057
2025-08-13 12:00:00,3188903005.080007,2644198.180000006
2025-08-13 16:00:00,3241790568.7353277,2679989.6900000065
2025-08-13 20:00:00,3318937905.1324887,2704444.7800000072
2025-08-14 00:00:00,3421732538.7706256,2774000.620000005
2025-08-14 04:00:00,3427957895.840809,2776870.6000000075
2025-08-14 08:00:00,3354744950.8809705,2754432.8400000082
2025-08-14 12:00:00,3331800590.327609,2753681.6500000074
2025-08-14 16:00:00,3075527280.122005,2601748.820000004
2025-08-14 20:00:00,3038302693.8632154,2576573.070000005
