timestamp,price,open,high,low,close,net_value,alpha,position_size,avg_price,decision_made,decision_type,quantity_pct,take_profit_price,stop_loss_price,similar_pattern_found
2025-02-10T08:00:00,97659.9,,,,,98737.61876142242,-0.32708723187851035,,,False,HOLD,,,,NO
2025-02-10T12:00:00,97224.0,97660.0,98358.3,96852.2,97224.0,98653.14449737004,-198.43334853164274,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2025-02-10T16:00:00,97386.1,,,,,98653.14449737004,-0.3242467353957389,,,True,SHORT,,,,NO
2025-02-10T20:00:00,97431.7,,,,,98602.41282886968,-0.32536780994788,,,False,HOLD,,,,NO
2025-02-11T00:00:00,97621.6,97431.7,98146.6,97401.4,97621.6,98436.20936843881,-216.93512893122397,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2025-02-11T04:00:00,98274.0,,,,,98436.20936843881,-0.3383668676111795,,,True,SHORT,,,,NO
2025-02-11T08:00:00,98145.9,,,,,98446.6306763245,-0.33653847947135057,,,False,HOLD,,,,NO
2025-02-11T12:00:00,97020.2,,,,,98841.27599767214,-0.3174405518930328,,,False,HOLD,,,,NO
2025-02-11T16:00:00,95034.7,97024.3,97049.6,94859.5,95034.7,99516.2081933357,1079.9988248968932,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0,YES
2025-02-11T20:00:00,95779.9,,,,,99516.2081933357,-0.29399728514230217,,,False,HOLD,,,,NO
2025-02-12T00:00:00,95308.0,,,,,99516.2081933357,-0.2876456987935693,,,False,HOLD,,,,NO
2025-02-12T04:00:00,96069.1,,,,,99516.2081933357,-0.29788980214178007,,,True,LONG,,,,NO
2025-02-12T08:00:00,96099.8,,,,,99493.59683102323,-0.29852912555703465,,,False,HOLD,,,,NO
2025-02-12T12:00:00,95805.1,96099.9,96637.4,94021.3,95805.1,99458.7912472067,-57.41694612899392,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2025-02-12T16:00:00,97200.3,,,,,99458.7912472067,-0.3136894737808337,,,False,HOLD,,,,NO
2025-02-12T20:00:00,97870.1,,,,,99458.7912472067,-0.32270471543453433,,,False,HOLD,,,,NO
2025-02-13T00:00:00,97503.9,,,,,99458.7912472067,-0.3177758090541443,,,False,HOLD,,,,NO
2025-02-13T04:00:00,96075.0,,,,,99458.7912472067,-0.29854338325693214,,,False,HOLD,,,,NO
2025-02-13T08:00:00,95930.0,,,,,99458.7912472067,-0.29659174091625345,,,True,LONG,,,,NO
2025-02-13T12:00:00,95999.9,,,,,99452.0443683988,-0.297600035908563,,,False,HOLD,,,,NO
